seconds,falls,reversals,attacks,dmgdealt,dmgtaken,score,times hit,times hit enemies
83,15,0,17,615.652,766.361,285.556,1138,366
102,17,3,20,1177.47,746.696,497.778,1086,700
37,1,1,6,739.953,40.1047,870,104,440
67,9,4,16,434.587,724.583,1133.89,535,720
75,9,4,10,527.1,474.332,1170,813,145
68,7,1,12,521.363,293.259,1152.22,289,405
56,7,1,17,359.404,244.073,1067.22,439,145
52,8,1,13,311.746,314.239,1013.06,388,308
43,3,4,6,607.572,110.846,1076.67,211,373
89,12,3,19,1148.25,518.895,573.333,485,635
43,10,0,4,94.05,586.292,640,500,32
70,17,3,2,428.813,765.571,833.333,877,145
16,0,0,2,450.152,0,823.333,0,91
126,9,0,4,9,505.841,40,495,877
